foodRegen,predSuccessRate,daysToEquilibrium,peakSnail,peakPred
50,0.5,162,553,20
50,0.75,57,565,20
50,1,16,402,23
75,0.5,38,553,20
75,0.75,83,569,21
75,1,39,407,21
100,0.5,34,585,20
100,0.75,26,591,20
100,1,31,345,80
